,SMILES,HOMO,LUMO
0,"Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1
",-0.17,-0.118
1,"CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O
",-0.183,-0.135
2,"Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1
",-0.173,-0.133
3,"Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21
",-0.158,-0.112
4,"Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C
",-0.17,-0.137
5,"C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC
",-0.175,-0.121
6,"Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1
",-0.169,-0.125
7,"CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1
",-0.168,-0.111
8,"CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1
",-0.178,-0.136
9,"CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
",-0.172,-0.131
10,"C=Cc1ccc(N(c2ccccc2)c2ccc(-c3ccc(C=C4SC(=S)N(CC(=O)O)C4=O)s3)cc2)cc1
",-0.179,-0.126
11,"N#CC(=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O
",-0.178,-0.128
12,"Cc1cc[se]c1
",-0.204,-0.049
13,"Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1
",-0.165,-0.112
14,"Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1
",-0.163,-0.127
15,"O=C1c2ccccc2C(=O)C1=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1
",-0.169,-0.125
16,"COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1
",-0.168,-0.118
17,"Cc1csc(C=Cc2cccc3nsnc32)c1C
",-0.182,-0.118
18,"C=Cc1ccc2c3ccc(C=Cc4sc(-c5cc(C)cs5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1
",-0.165,-0.096
19,"C=Cc1ccc2c3ccc(C=Cc4ccc(-c5ccc(C6=C(C)C(C)=C(c7ccc(-c8cccs8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OC)cc3)c2c1
",-0.167,-0.122
20,"Cc1cc2cc3c(C#C[Si](C)(C)C)c4cc5sc(C)cc5cc4c(C#C[Si](C)(C)C)c3cc2s1
",-0.162,-0.114
21,"CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nc5sc(-c6cccs6)nc5s4)s2)cc1C3(C)C
",-0.168,-0.114
22,"C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1
",-0.161,-0.105
23,"COc1c(OC)c(-c2ccc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4C3=S=C(C)C=C3)s2)c2nsnc2c1-c1cccs1
",-0.168,-0.122
24,"N#CC(=Cc1ccc(-c2ccc(-c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)s3)c3c2C(=O)OC3=O)s1)c1ccc([N+](=O)[O-])cc1
",-0.22,-0.163
25,"COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)-c4sc(-c6cc(C)c(-c7ccc(C8=S=C(C=C(C#N)C(=O)OC)C=C8C)s7)s6)cc4[Si]5(C)C)cc3C)s2)s1
",-0.173,-0.133
26,"CN1C(=O)C2=C(c3ccc(-c4ccccc4)s3)N(C)C(=O)C2=C1c1cccs1
",-0.169,-0.123
27,"Cc1ccc(-c2ccc(-c3cnc(-c4cc5c(s4)-c4sc(-c6ncc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1
",-0.167,-0.138
28,"CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C6=C(c7ccccc7)C(c7ccccc7)=C(c7ccc(-c8ccc(C9=S=CC=C9)s8)s7)[Si]6(C)C)s5)s4)s3)cc21
",-0.159,-0.115
29,"COCc1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1
",-0.167,-0.091
30,"Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)cc21
",-0.179,-0.134
31,"COc1c2ccsc2c(OC)c2cc(-c3sc(-c4sc(-c5cc(C)cs5)c5c4C(=O)N(C)C5=O)cc3C)sc21
",-0.173,-0.115
32,"CC1(C)CC(C=Cc2ccc(N(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=CC(=C(C#N)C(=O)O)C1
",-0.163,-0.121
33,"COc1c2cc(C)sc2c(OC)c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(C)C5=O)s3)sc21
",-0.167,-0.113
34,"Cc1c2ccsc2c(C)c2cc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)sc21
",-0.177,-0.137
35,"CC(=O)c1cc2c(csc2-c2cc3c(s2)c(C)c2ccsc2c3C)s1
",-0.176,-0.117
36,"Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1cnc(-c2ncc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)s2)s1
",-0.162,-0.107
37,"Cc1nc(-c2nc(C)c(-c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)s2)sc1-c1cccs1
",-0.167,-0.112
38,"Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cccc5nc6c7ccsc7c7sccc7c6nc53)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1
",-0.17,-0.118
39,"COc1ccc(N(c2ccc(C=Cc3cc4c(s3)-c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)cc2)c2ccc(OC)cc2)cc1
",-0.164,-0.121
40,"Cn1c2ccsc2c2sc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21
",-0.166,-0.124
41,"Cc1nc(-c2nc(C)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)sc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1
",-0.166,-0.099
42,"CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C
",-0.166,-0.125
43,"c1csc(-c2cc(-c3cccs3)c(-c3cccs3)s2)c1
",-0.178,-0.092
44,"CN1c2ccccc2C(=C2c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)cc3N(C)C2=O)C1=O
",-0.176,-0.129
45,"CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
",-0.176,-0.124
46,"COc1ccc(C=Cc2ccc(C=Cc3cc(C)c(C=Cc4ccc(C=Cc5cc(C)c(C=Cc6ccc(C=Cc7cc(C)c(C=O)cc7C)s6)cc5C)s4)cc3C)s2)cc1
",-0.162,-0.12
47,"COc1ccc(N(c2ccc(C=Cc3ccc(C=C(C#N)C(=O)O)s3)cc2)c2ccc(OC)cc2)cc1
",-0.169,-0.121
48,"Cc1cc(C=C2C(=O)c3ccccc3C2=O)sc1-c1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C6=S=C(C=C7C(=O)c8ccccc8C7=O)C=C6C)cc5C)cc4C)s3)s2)s1
",-0.172,-0.133
49,"CC(=O)c1sc2csc(-c3cc4c(s3)c(C)c3ccsc3c4C)c2c1F
",-0.18,-0.119
50,"Cc1cc2c3ccsc3c3sc(-c4ccc(-c5cnc(-c6cccs6)c6nsnc65)s4)cc3c2cc1C
",-0.175,-0.136
51,"COC(=O)c1sc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2c1F
",-0.169,-0.11
52,"COc1ccc(N(c2ccc(OC)cc2)c2ccc(C(=Cc3ccc(C=C(C#N)C(=O)O)s3)c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)cc2)cc1
",-0.157,-0.118
53,"C=Cc1sccc1C(=O)OC
",-0.205,-0.097
54,"N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)C(=O)O
",-0.189,-0.116
55,"COc1c2sccc2c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc2c1OC
",-0.172,-0.112
56,"COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4ccc5c6ccc(-c7cc(C)c(-c8ccc(-c9sc(C=C(C#N)C(=O)OC)cc9C)s8)s7)cc6n(C)c5c4)cc3C)s2)s1
",-0.179,-0.13
57,"Cc1ccsc1-c1sc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12
",-0.166,-0.118
58,"Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(C6=C7C(=O)N(C)C(c8cccs8)=C7C(=O)N6C)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1
",-0.161,-0.12
59,"COC(=O)c1cc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)s1
",-0.169,-0.108
60,"COc1ccsc1-c1sc(-c2scc3c2C(=O)N(C)C3=O)cc1OC
",-0.165,-0.103
61,"COc1c2ccsc2c(OC)c2cc(-c3cc(C)c(-c4sc(-c5sccc5C)c5c4C(=O)N(C)C5=O)s3)sc21
",-0.175,-0.112
62,"Cc1nc2c3ccsc3c3sc(-c4ccc(-c5cnc(C6=S=CC=C6)c6nsnc65)s4)cc3c2nc1C
",-0.179,-0.137
63,"COc1cccc2c1ccc(-c1ccc(-c3ccc(-c4cccs4)c4nsnc43)s1)c2OC
",-0.175,-0.125
64,"CC1(C)c2cc(-c3ccc(-c4ccc(C=C(C#N)C#N)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21
",-0.177,-0.137
65,"Cc1ccc(-c2sc(-c3ccc(-c4ccc(N(c5ccc(-c6ccc(-c7sc(-c8ccc(C)s8)c8c7OCCO8)s6)cc5)c5ccc(-c6ccc(-c7sc(-c8ccc(C)s8)c8c7OCCO8)s6)cc5)cc4)s3)c3c2OCCO3)s1
",-0.148,-0.092
66,"Cn1c2ccccc2c2cc(-c3cc4c(s3)-c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)ccc21
",-0.179,-0.122
67,"Cn1c2ccccc2c2ccc(-c3ccc(-c4nnc(-c5cccs5)c5nccnc45)s3)cc21
",-0.181,-0.136
68,"CC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1
",-0.174,-0.112
69,"COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(C=C(C#N)C(=O)O)s3)cc2)cc1
",-0.171,-0.12
70,"Cc1cc(-c2c3ccsc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)sc32)sc1C
",-0.171,-0.131
71,"Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)C(C)(C)c1cc(N(c3ccccc3)c3cccc4ccccc43)ccc1-2
",-0.173,-0.122
72,"Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)C(C)(C)c1cc(N(c3ccccc3)c3cccc4ccccc43)ccc1-2
",-0.172,-0.122
73,"Cn1c2ccccc2c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc21
",-0.165,-0.12
74,"C=Cc1ccc(N(c2ccccc2)c2ccc(C=C3SC(=S)N(CC(=O)O)C3=O)cc2)cc1
",-0.183,-0.12
75,"CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21
",-0.159,-0.112
76,"COc1c2ccsc2c(OC)c2cc(-c3scc4sc(C(C)=O)cc43)sc21
",-0.173,-0.116
77,"N#CC(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)s1)C(=O)O
",-0.179,-0.127
78,"N#CC(=CC=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)C(=O)O
",-0.185,-0.126
79,"COc1c2ccsc2c(OC)c2c1=S=C(c1ccc(-c3sc(-c4nc(C)c(-c5cccs5)s4)nc3C)s1)C=2
",-0.172,-0.115
80,"Cn1c2cc(C=C(C#N)C#N)sc2c2sc(C=C(C#N)C#N)cc21
",-0.222,-0.165
81,"Cc1csc(C#Cc2cccc3nsnc32)c1C
",-0.188,-0.122
82,"Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4ccc(-c5nc6sc(-c7cccs7)nc6s5)s4)sc32)s1
",-0.173,-0.117
83,"CN1C(=O)c2csc(-c3cc4c(s3)-c3sccc3C4(C)C)c2C1=O
",-0.181,-0.109
84,"COc1c2ccsc2c(OC)c2cc(-c3sc(C4=S=Cc5ccccc54)c4ccccc43)sc21
",-0.164,-0.111
85,"COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2-c2ccc(OC)cc2)cc1
",-0.169,-0.11
86,"Cc1ccc(-c2c3sc4cc(-c5scc6cc(S(C)(=O)=O)sc65)sc4c3c(-c3ccc(C)s3)c3sc4ccsc4c32)s1
",-0.175,-0.108
87,"C#Cc1cc2c(s1)-c1sc(C#Cc3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc1C2(C)C
",-0.172,-0.123
88,"COc1c2ccsc2c(OC)c2cc(-c3scc4cc(C(C)=O)sc43)sc21
",-0.174,-0.112
89,"COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(C=C(C#N)C(=O)O)o3)cc2)cc1
",-0.167,-0.113
90,"CSc1ccc(-c2ccc(-c3csc(-c4cc(-c5ccc(-c6ccc(SC)s6)s5)sc4-c4sc(-c5ccc(-c6ccc(SC)s6)s5)cc4-c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)c3)s2)s1
",-0.168,-0.109
91,"C=Cc1cc(OC)ccc1OC
",-0.174,-0.063
92,"COc1c2ccsc2c(OC)c2c1=S=C(c1cc(C)c(-c3sc(-c4nc(C)c(-c5sccc5C)s4)nc3C)s1)C=2
",-0.164,-0.108
93,"COc1c2ccsc2c(OC)c2cc(-c3scc4sc(C(C)=O)c(F)c43)sc21
",-0.178,-0.117
94,"CC1(C)c2cc(C=C(C#N)c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21
",-0.181,-0.136
95,"Cc1ccc(-c2ccc(-c3c4cc(-c5cc(C)c(-c6ccc(-c7sc(C=C8SC(=S)N(C)C8=O)cc7C)s6)s5)sc4c(-c4ccc(-c5ccc(C)s5)s4)c4cc(-c5cc(C)c(-c6ccc(-c7sc(C=C8SC(=S)N(C)C8=O)cc7C)s6)s5)sc43)s2)s1
",-0.171,-0.13
96,"Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6cccs6)c6nsnc65)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1
",-0.166,-0.124
97,"Cn1c2ccccc2c2ccc(-c3ccc(-c4nnc(-c5cccs5)c5nonc54)s3)cc21
",-0.188,-0.144
98,"Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c4sccc4c4cc(C)c(C)cc54)s3)c3nsnc32)c1
",-0.17,-0.125
99,"COc1ccc2c(c1)-c1cc(OC)c(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc1[Si]2(C)C
",-0.17,-0.122
100,"Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1
",-0.176,-0.122
101,"Cc1ccc(-c2nc3c(nc2-c2ccc(C)cc2)c(-c2ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s2)sc3-c2cccs2)cc1
",-0.164,-0.122
102,"CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C
",-0.174,-0.126
103,"Cc1csc(-c2sc(-c3nc4cc5sc(-c6cc(C)c(-c7cc(C)cs7)s6)nc5cc4s3)cc2C)c1
",-0.176,-0.111
104,"COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6cc7c(s6)c(OC)c6cc(-c8cc(C)c(-c9cc(C)c(-c%10ccc(-c%11sc(-c%12sc(C=C(C#N)C(=O)OC)cc%12C)cc%11C)s%10)s9)s8)sc6c7OC)cc5C)cc4C)s3)s2)s1
",-0.17,-0.131
105,"COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c2s1
",-0.168,-0.116
106,"Cc1ccsc1-c1nnc(-c2sc(-c3cc4c(s3)-c3sccc3C4(C)C)cc2C)nn1
",-0.174,-0.123
107,"COC(=O)C(C#N)=CC1=S=C(c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6ccc(-c7cc(C)c(-c8cc(C)c(-c9ccc(-c%10sc(C%11=S=C(C=C(C#N)C(=O)OC)C=C%11C)cc%10C)s9)s8)s7)c7nsnc76)cc5C)cc4C)s3)s2)C(C)=C1
",-0.169,-0.136
108,"CN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)s3)N(C)C(=O)C2=C1c1cccs1
",-0.168,-0.123
109,"CC1(C)c2ccccc2-c2ccc(N(c3ccc4cc(C=Cc5ccc(C=C(C#N)C(=O)O)s5)sc4c3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
",-0.172,-0.131
110,"Cc1ccsc1-c1cc(C)c(-c2ccc(-c3cc(C)c(C4=S=C(c5ccc6c7cc8c(cc7n(C)c6c5)c5ccccc5n8C)C(C)=C4)s3)c3nsnc32)s1
",-0.165,-0.122
111,"C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nonc43)cc21
",-0.182,-0.124
112,"COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cc4c(s3)-c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)cc2)cc1
",-0.166,-0.119
113,"COC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1
",-0.171,-0.106
114,"CC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc43)cc21
",-0.176,-0.126
115,"C[Si](C)(C)C#Cc1c2ccccc2c2ccc3c(C#C[Si](C)(C)C)c4ccccc4c4ccc1c2c34
",-0.173,-0.12
116,"COc1cccc(C2N=c3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3=NC2c2cccc(OC)c2)c1
",-0.173,-0.139
117,"Cc1csc(C2=NC3SC(c4cc(C)c(-c5cc6c(s5)-c5sccc5[Si]6(C)C)s4)=NC3S2)c1
",-0.174,-0.105
